               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060739,            0.025811,            0.040451,             0.42367,              0.5089,             0.46481,             0.31123,            0.024324,           0.0096736,            0.017322,            0.070026,           0.0033304,           0.0033304
                   1,            0.038493,            0.020024,             0.01814,             0.67626,             0.68988,               0.726,             0.46647,            0.020055,           0.0089219,           0.0095633,             0.03996,           0.0065978,           0.0065978
                   2,            0.035824,            0.018861,            0.015604,              0.7393,             0.69639,              0.7685,             0.56947,            0.020467,           0.0091634,             0.01018,           0.0098284,           0.0097991,           0.0097991
                   3,            0.033777,            0.018779,            0.013924,             0.71889,             0.72863,             0.80312,             0.57922,            0.017929,           0.0080627,            0.008454,            0.009703,            0.009703,            0.009703
                   4,            0.031015,            0.018134,            0.012659,             0.78884,             0.71096,             0.81453,             0.63389,            0.018371,           0.0081137,           0.0070018,            0.009703,            0.009703,            0.009703
                   5,            0.029443,             0.01745,            0.011683,             0.79928,             0.80354,             0.85889,             0.67486,            0.016521,           0.0075603,           0.0067399,            0.009604,            0.009604,            0.009604
                   6,            0.028182,            0.016955,            0.010624,             0.79939,              0.8154,             0.86065,             0.66759,            0.016382,           0.0076245,           0.0059442,            0.009505,            0.009505,            0.009505
                   7,            0.027719,            0.016799,            0.010134,             0.83034,             0.79323,             0.87392,             0.70682,            0.015981,           0.0072524,           0.0059553,            0.009406,            0.009406,            0.009406
                   8,            0.026983,            0.016747,           0.0098648,             0.83611,             0.81335,             0.87879,             0.69166,            0.015379,           0.0072122,           0.0061295,            0.009307,            0.009307,            0.009307
                   9,            0.026428,            0.016375,           0.0089572,             0.81116,             0.82046,             0.87992,             0.70117,            0.014756,           0.0069754,           0.0066313,            0.009208,            0.009208,            0.009208
                  10,            0.026214,            0.016186,           0.0089572,             0.83228,             0.79896,             0.88192,             0.70995,            0.014648,           0.0069631,           0.0045805,            0.009109,            0.009109,            0.009109
                  11,             0.02564,            0.016071,           0.0087234,             0.80667,              0.8423,             0.88742,             0.73129,            0.014302,           0.0066872,           0.0052313,             0.00901,             0.00901,             0.00901
                  12,            0.025423,            0.015743,           0.0083681,             0.82637,             0.84135,             0.89915,              0.7413,            0.014022,           0.0066484,           0.0050046,            0.008911,            0.008911,            0.008911
                  13,            0.025136,            0.015732,           0.0082181,             0.81658,              0.8515,             0.89375,              0.7178,             0.01393,           0.0068209,           0.0048152,            0.008812,            0.008812,            0.008812
                  14,            0.024989,            0.015735,           0.0079774,             0.81308,             0.86494,             0.90335,             0.74114,            0.013899,           0.0065261,           0.0043965,            0.008713,            0.008713,            0.008713
                  15,            0.024648,            0.015482,           0.0075867,             0.83472,             0.85546,             0.89961,              0.7413,            0.014228,           0.0065981,           0.0047351,            0.008614,            0.008614,            0.008614
                  16,            0.024392,            0.015409,           0.0076578,             0.83495,             0.87379,             0.90797,             0.75641,            0.013612,           0.0064137,           0.0041359,            0.008515,            0.008515,            0.008515
                  17,            0.024224,            0.015274,           0.0073513,             0.83766,             0.84683,             0.90178,             0.74332,            0.013434,           0.0065155,           0.0043406,            0.008416,            0.008416,            0.008416
                  18,            0.024206,            0.015391,           0.0075787,             0.85181,              0.8609,             0.90679,             0.75372,            0.013435,           0.0064148,           0.0045731,            0.008317,            0.008317,            0.008317
                  19,            0.023897,            0.015126,           0.0069949,             0.86214,             0.85202,             0.91281,             0.76589,            0.013115,           0.0062512,            0.003742,            0.008218,            0.008218,            0.008218
                   0,            0.060739,            0.025811,            0.040451,             0.42367,              0.5089,             0.46481,             0.31123,            0.024324,           0.0096736,            0.017322,            0.070026,           0.0033304,           0.0033304
                   1,            0.038493,            0.020024,             0.01814,             0.67626,             0.68988,               0.726,             0.46647,            0.020055,           0.0089219,           0.0095633,             0.03996,           0.0065978,           0.0065978
                   2,            0.035824,            0.018861,            0.015604,              0.7393,             0.69639,              0.7685,             0.56947,            0.020467,           0.0091634,             0.01018,           0.0098284,           0.0097991,           0.0097991
                   3,            0.033777,            0.018779,            0.013924,             0.71889,             0.72863,             0.80312,             0.57922,            0.017929,           0.0080627,            0.008454,            0.009703,            0.009703,            0.009703
                   4,            0.031015,            0.018134,            0.012659,             0.78884,             0.71096,             0.81453,             0.63389,            0.018371,           0.0081137,           0.0070018,            0.009703,            0.009703,            0.009703
                   5,            0.029443,             0.01745,            0.011683,             0.79928,             0.80354,             0.85889,             0.67486,            0.016521,           0.0075603,           0.0067399,            0.009604,            0.009604,            0.009604
                   6,            0.028182,            0.016955,            0.010624,             0.79939,              0.8154,             0.86065,             0.66759,            0.016382,           0.0076245,           0.0059442,            0.009505,            0.009505,            0.009505
                   7,            0.027719,            0.016799,            0.010134,             0.83034,             0.79323,             0.87392,             0.70682,            0.015981,           0.0072524,           0.0059553,            0.009406,            0.009406,            0.009406
                   8,            0.026983,            0.016747,           0.0098648,             0.83611,             0.81335,             0.87879,             0.69166,            0.015379,           0.0072122,           0.0061295,            0.009307,            0.009307,            0.009307
                   9,            0.026428,            0.016375,           0.0089572,             0.81116,             0.82046,             0.87992,             0.70117,            0.014756,           0.0069754,           0.0066313,            0.009208,            0.009208,            0.009208
                  10,            0.026214,            0.016186,           0.0089572,             0.83228,             0.79896,             0.88192,             0.70995,            0.014648,           0.0069631,           0.0045805,            0.009109,            0.009109,            0.009109
                  11,             0.02564,            0.016071,           0.0087234,             0.80667,              0.8423,             0.88742,             0.73129,            0.014302,           0.0066872,           0.0052313,             0.00901,             0.00901,             0.00901
